"taxon";"species";"species_perc";"Benin";"Benin_perc";"Burkina Faso";"Burkina Faso_perc";"Gambia";"Gambia_perc";"Ghana";"Ghana_perc";"Guinea";"Guinea_perc";"Guinea-Bissau";"Guinea-Bissau_perc";"Ivory Coast";"Ivory Coast_perc";"Liberia";"Liberia_perc";"Mali";"Mali_perc";"Niger";"Niger_perc";"Nigeria";"Nigeria_perc";"Senegal";"Senegal_perc";"Sierra Leone";"Sierra Leone_perc";"Togo";"Togo_perc";"West Africa";"West Africa_perc"
"Corticiales";248;0.179639851072769;0;0;0;0;0;0;0;0;1;0.12;0;0;2;0.17;1;0.63;0;0;0;0;1;0.08;0;0;2;0.12;0;0;3;0.06
"Dacrymycetales";171;0.123864574731627;0;0;0;0;1;0.85;2;0.13;0;0;0;0;0;0;0;0;0;0;0;0;2;0.15;0;0;2;0.12;0;0;2;0.04
"Doassansiales";55;0.0398394831008156;1;0.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.85;0;0;0;0;0;0;0;0;0;0;2;0.04
"Entylomatales";273;0.197748707027685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Exobasidiales";166;0.120242803540644;1;0.24;1;0.76;0;0;2;0.13;1;0.12;0;0;0;0;0;0;1;0.85;2;2.35;1;0.08;1;0.33;1;0.06;0;0;4;0.08
"Geastrales";115;0.0833007373926145;2;0.47;0;0;0;0;8;0.52;0;0;0;0;0;0;0;0;1;0.85;0;0;11;0.83;0;0;1;0.06;1;0.18;12;0.25
"Georgefischeriales";44;0.0318715864806525;0;0;0;0;0;0;1;0.07;4;0.5;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;1;0.06;0;0;6;0.13
"Gomphales";488;0.353484868239964;2;0.47;0;0;0;0;1;0.07;1;0.12;0;0;2;0.17;1;0.63;0;0;0;0;2;0.15;0;0;0;0;1;0.18;7;0.15
"Helicobasidiales";36;0.0260767525750793;0;0;0;0;0;0;2;0.13;0;0;0;0;1;0.09;0;0;0;0;1;1.18;1;0.08;0;0;0;0;0;0;2;0.04
"Hymenochaetales";1019;0.738116968722384;10;2.36;2;1.52;0;0;19;1.24;3;0.37;0;0;3;0.26;1;0.63;3;2.56;1;1.18;13;0.98;6;1.99;15;0.92;8;1.47;46;0.97
"Hysterangiales";145;0.105031364538514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lepidostromatales";5;0.00362177119098324;1;0.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Malasseziales";22;0.0159357932403262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Microbotryales";164;0.11879409506425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.33;0;0;1;0.18;1;0.02
"Phallales";172;0.124588928969823;1;0.24;1;0.76;0;0;15;0.98;1;0.12;0;0;1;0.09;0;0;0;0;2;2.35;16;1.2;3;0.99;3;0.18;5;0.92;23;0.48
"Polyporales";3553;2.57363060831269;34;8.04;8;6.06;4;3.42;87;5.66;28;3.49;0;0;20;1.73;4;2.52;13;11.11;12;14.12;87;6.53;27;8.94;79;4.84;36;6.59;221;4.65
"Pucciniales";8014;5.80497486490793;5;1.18;1;0.76;1;0.85;150;9.75;97;12.09;0;0;123;10.66;1;0.63;1;0.85;5;5.88;125;9.38;6;1.99;104;6.37;16;2.93;335;7.05
"Russulales";3137;2.27229924522288;42;9.93;15;11.36;0;0;12;0.78;28;3.49;0;0;45;3.9;5;3.14;0;0;0;0;12;0.9;29;9.6;4;0.24;83;15.2;150;3.16
"Sebacinales";93;0.0673649441522882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Septobasidiales";244;0.176742434119982;0;0;0;0;0;0;0;0;1;0.12;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Sporidiobolales";91;0.0659162356758949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Stereopsidales";17;0.012314022049343;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Thelephorales";356;0.257870108798007;8;1.89;2;1.52;0;0;1;0.07;5;0.62;0;0;0;0;1;0.63;0;0;0;0;0;0;0;0;2;0.12;2;0.37;16;0.34
"Tilletiales";236;0.170947600214409;1;0.24;0;0;0;0;2;0.13;2;0.25;0;0;1;0.09;0;0;0;0;0;0;3;0.23;1;0.33;5;0.31;3;0.55;6;0.13
"Trechisporales";114;0.0825763831544178;0;0;0;0;0;0;2;0.13;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;1;0.06;0;0;3;0.06
"Tremellales";435;0.315094093615542;0;0;1;0.76;0;0;2;0.13;1;0.12;0;0;2;0.17;0;0;0;0;0;0;3;0.23;1;0.33;2;0.12;1;0.18;4;0.08
"Trichosporonales";78;0.0564996305793385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Urocystidales";313;0.226722876555551;0;0;0;0;0;0;0;0;3;0.37;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;3;0.06
"Ustilaginales";1088;0.788097411157953;9;2.13;6;4.55;2;1.71;22;1.43;22;2.74;0;0;13;1.13;2;1.26;7;5.98;6;7.06;30;2.25;14;4.64;36;2.2;23;4.21;72;1.52
"Blastocladiomycota";215;0.155736161212279;0;0;4;3.03;0;0;1;0.07;0;0;0;0;0;0;1;0.63;0;0;0;0;4;0.3;0;0;3;0.18;0;0;6;0.13
"Blastocladiales";215;0.155736161212279;0;0;4;3.03;0;0;1;0.07;0;0;0;0;0;0;1;0.63;0;0;0;0;4;0.3;0;0;3;0.18;0;0;6;0.13
"Chytridiomycota";1218;0.882263462123517;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Chytridiales";607;0.439683022585365;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Olpidiales";57;0.0412881915772089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Glomeromycota";284;0.205716603647848;70;16.55;0;0;4;3.42;0;0;0;0;0;0;33;2.86;0;0;4;3.42;0;0;23;1.73;4;1.32;0;0;0;0;91;1.91
"Archaeosporales";14;0.0101409593347531;3;0.71;0;0;0;0;0;0;0;0;0;0;3;0.26;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;6;0.13
"Diversisporales";138;0.0999608848711374;39;9.22;0;0;0;0;0;0;0;0;0;0;16;1.39;0;0;1;0.85;0;0;11;0.83;0;0;0;0;0;0;49;1.03
"Glomerales";121;0.0876468628217944;27;6.38;0;0;4;3.42;0;0;0;0;0;0;14;1.21;0;0;3;2.56;0;0;10;0.75;4;1.32;0;0;0;0;35;0.74
"Paraglomerales";9;0.00651918814376983;1;0.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Zygomycota";1366;0.989467889376621;3;0.71;0;0;1;0.85;15;0.98;2;0.25;0;0;9;0.78;2;1.26;1;0.85;0;0;15;1.13;1;0.33;9;0.55;0;0;34;0.72
"Entomophthorales";326;0.236139481652107;1;0.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0.18;0;0;4;0.08
"Kickxellales";37;0.026801106813276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.63;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Mortierellales";122;0.088371217059991;0;0;0;0;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Mucorales";287;0.207889666362438;1;0.24;0;0;1;0.85;14;0.91;2;0.25;0;0;8;0.69;1;0.63;1;0.85;0;0;14;1.05;1;0.33;5;0.31;0;0;25;0.53
"Zoopagales";221;0.160082286641459;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;1;0.02
"Zygomycota_Incertae_sedis";NA;NA;1;0.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;2;0.04
"Cercozoa";48;0.0347690034334391;0;0;1;0.76;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;1;0.33;0;0;1;0.18;1;0.02
"Plasmodiophorida";44;0.0318715864806525;0;0;1;0.76;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;1;0.33;0;0;1;0.18;1;0.02
"Choanozoa";96;0.0695380068668782;7;1.65;0;0;0;0;0;0;1;0.12;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0.19
"Eccrinida";96;0.0695380068668782;7;1.65;0;0;0;0;0;0;1;0.12;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0.19
"Mycetozoa";1184;0.857635418024831;0;0;0;0;21;17.95;4;0.26;3;0.37;0;0;1;0.09;45;28.3;1;0.85;0;0;80;6.01;0;0;17;1.04;1;0.18;113;2.38
"Dictyostelida";149;0.107928781491301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Liceida";157;0.113723615396874;0;0;0;0;0;0;1;0.07;1;0.12;0;0;0;0;3;1.89;0;0;0;0;5;0.38;0;0;2;0.12;0;0;6;0.13
"Physarida";415;0.300607008851609;0;0;0;0;3;2.56;0;0;1;0.12;0;0;0;0;12;7.55;1;0.85;0;0;23;1.73;0;0;3;0.18;1;0.18;29;0.61
"Protostelida";32;0.0231793356222927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.63;0;0;0;0;1;0.08;0;0;2;0.12;0;0;2;0.04
"Stemonitiida";217;0.157184869688673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trichiida";190;0.137627305257363;0;0;0;0;7;5.98;0;0;1;0.12;0;0;0;0;10;6.29;0;0;0;0;20;1.5;0;0;5;0.31;0;0;27;0.57
"Oomycota";1616;1.17055644892578;5;1.18;2;1.52;1;0.85;14;0.91;7;0.87;0;0;8;0.69;4;2.52;4;3.42;2;2.35;12;0.9;6;1.99;13;0.8;4;0.73;27;0.57
"Albuginales";64;0.0463586712445855;1;0.24;0;0;0;0;1;0.07;0;0;0;0;2;0.17;0;0;0;0;0;0;0;0;0;0;2;0.12;0;0;4;0.08
"Peronosporales";1131;0.819244643400409;4;0.95;2;1.52;1;0.85;13;0.85;7;0.87;0;0;6;0.52;3;1.89;4;3.42;2;2.35;11;0.83;6;1.99;11;0.67;4;0.73;22;0.46
"Saprolegniales";244;0.176742434119982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.63;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
